"","muse.track","muse.artist","lyrics"
"1","Angel","Blue October","I'm wishing the bath water clean She hides in the back and is unseen I take off the mask that surrounds me Look me in the face, what do you see? I feel like a boy the age of 13 My body grows up, but my mind stays the same Look me in the face, what do you see? How do you tell an angel That you don't believe in God? Why do I feel like such a stranger? I look around, I look around And all my friends are gone But oh, would you be me? Because I would be you Oh, you'd be happy Only if you wanted to And how would you treat me? Because I would treat you Oh, you'd be happy Only if you wanted to How do you tell your father That you want him to notice you? Why does this seem like such a bother? When mom says you'd be better off dead But I want to see you, I still wanna see you Oh. would you call me? Oh, it's not hard to I'm the first one Oh, you gave birth to And oh, would you write me On my birthday? Graduation was yesterday Yesterday, oh How do you hold the special victim When they push you away? When they've been raped on the inside Torn on the outside? The dirt and ugly from the stain that they try to hide Touched in private places, embarrassed faces Too scared to ask for help Oh, would you be me? Because I would be you Oh, you'd be happy Only if you wanted to And how would you treat me? Because I would treat you You'd be happy Only if you wanted to I'm wishing the bath water clean She hides in the back and is unseen I take off the mask that surrounds me Look me in the face, what do you see?"
"3","Fuck You","Wesley Willis","Let me find another job It doesn't pay me enough money at all I want a better one I'm going to tell you this Fuck you Fuck you Fuck you Fuck you Fuck you Take this job and shove it I'm not working for you anymore Stick it up your ass Suck my damn dick, asshole Fuck your crummy ass, jerk Fuck you Fuck you Fuck you Fuck you Fuck you Get your paws off me Get the fuck away from me Take your bullshit somewhere else Jump into your hot rod And hit the road, asshole Fuck you Fuck you Fuck you Fuck you Fuck you Diet Pepsi, uh-huh"
"8","Men in This Town","Shakira","Is there a prince in this fable For a small town girl like me? The good ones are gone or not able And Matt Damon's not meant for me Damon's not meant for me I got to say; California Is a place that I respect Come on LA, take advantage Give me a night that I won't forget I went to look From the Sky Bar to the Standard, nothing took These boys don't care Got a handful with their projects and with their looks Where are all the men in this town? And what's a girl supposed to do? Did they all run off when they knew That I was coming 'round, coming 'round? Where are all the men in this town? And what's a girl supposed to do? Did they all run off when they knew That I was coming 'round, coming 'round? Fresh I'm so fresh, I'm so clean Got the lips and got the skin Got the skin, got that thing I'm so fresh and I'm so- Is there a prince in this fable For a small town girl like me? The good ones are gone or not able And Matt Damon's not meant for me I never dreamed that I'd come here to become the next Jolie But I sure know there is someone Around somewhere who's meant to be Where are all the men in this town? And what's a girl supposed to do? Did they all run off when they knew That I was coming 'round, coming 'round? Where are all the men in this town? And what's a girl supposed to do? Did they all run off when they knew That I was coming 'round, coming round? Fresh I'm so fresh, I'm so clean Got the lips and got the skin Got the skin, got that thing I'm so fresh and I'm so Fresh I'm so fresh, I'm so clean Got the lips and got the skin Got the skin, got that thing I'm so fresh and I'm so- So they say It's a suicide, waiting, others say It's a suicide, waiting, yo no se It's a suicide waiting, another day It's a suicide, waiting So decide, it's a suicide waiting, all this time It's a suicide waiting, ¿dónde estás? It's a suicide waiting, so decide It's a suicide, waiting"
"9","Sale el Sol","Shakira","Estas semanas sin verte Me parecieron años Tanto te quise besar Que me duelen los labios Mira que el miedo nos hizo Cometer estupideces Nos dejo sordos y ciegos Tantas veces Y un día despues De la tormenta Cuando menos piensas sale el sol De tanto sumar Pierdes la cuenta Porque uno y uno no siempre son dos Cuando menos piensas sale el sol Te lloré hasta el extremo De lo que era posible Cuando creía que era Invencible No hay mal que dure cien años Ni cuerpo que lo aguante Y lo mejor siempre espera Adelante Cuando menos piensas Sale el sol Y un día despues De la tormenta Cuando menos piensas sale el sol De tanto sumar Pierdes la cuenta Porque uno y uno no siempre son dos Y un día despues Y un día despues Sale el soool"
"10","Rules","Shakira","You have to swear you've got love to love me Uh-uh, that will last forever Uh-uh, we must have a story Uh-uh, with a happy ending Ahh, so don't ever go away, and never put aside The things I'm gonna say, ‘cause these are rules for us Use your eyes only to look at me Use your mouth only to kiss my lips We are branches of the same old tree You can laugh, only if you laugh with me You can cry, only if you cry for me Don't forget that you're condemned to me Oh, can't you see? You always were, you'll always be You used to say I should see a doctor Uh-uh, who would keep me busy Uh-uh, ‘cause a jealous woman never makes it easy Ahh, and you know I'll do for us whatever seems right Ah-ah, but it may take awhile before I change the rules Use your eyes only to look at me Use your mouth only to kiss my lips We are branches of the same old tree You can laugh only if you laugh with me You can cry only if you cry for me Don't forget that you're condemned to me Oh, can't you see? You always were, you always were Ohh, oh-oh-oh So use your eyes only to look at me Use your mouth only to kiss my lips We are branches of the same old tree You can laugh only if you laugh with me You can cry only if you cry for me Don't forget that you're condemned to me Oh, can't you see? You always were, you'll always be Ah-ah-ah"
"11","Ready for the Good Times","Shakira","I don't wanna clear the cobwebs from my head Time will bring them back, I bet So if you hear me say that I believe in love Don't make me feel ashamed I used to sing the saddest songs And in the meantime, roaches used to climb my door Falling back down to the floor I used to read survival guides When my world was full of seven legged cats But here I am with eight more lives I'm ready for the good times I'm ready for the good times Ready to get it on I'm ready for the good times I'm ready for the good times Now that I'm not alone Ah, ah, ah, ah, ah, ah, ah, ah Ah, ah, ah, ah, you know it Ah, ah, ah, ah, ah, ah, ah, ah You better not ignore it I don't wanna look at fashion magazines While someone does my nails Sitting here watching other people live Frozen by the fear to fail 'Cause every day there's a war to fight And if I win or lose - nevermind As long as you're my shelter every night I used to cry against a wall But now I've got a shoulder that I can lean on Swear to me you won't be gone I'm ready for the good times I'm ready for the good times Ready to get it on I'm ready for the good times I'm ready for the good times Now that I'm not alone 'Cause every day there's a war to fight And if I win or lose - nevermind As long as you're my shelter every night I used to cry against a wall But now I've got a shoulder that I can lean on Swear to me you won't be gone I'm ready for the good times I'm ready for the good times Ready to get it on I'm ready for the good times I'm ready for the good times Now that I'm not alone Ah, ah, ah, ah, ah, ah, ah, ah Ah, ah, ah, ah, you know it Ah, ah, ah, ah, ah, ah, ah, ah You better not ignore it"
"12","Give It Up to Me","Shakira","How you doing? I'm Mr. Mos, I'm back Tim, are you on it? Tim, are you on it? Give me some Is this what you wanted? Is this what you wanted? Oh I'm, Wayne's world I'm the cashier, I change girls You can go up my crane, girl And I'ma go down that drain, girl Hey uh, midnight cowboy My flow is a dog, down boy Ha, and my girl is a queen And she do what I say and I say what I mean Then I give it to her uncut Shakira swing them hips like nun-chucks Now, give it to me I want the best and the best things in life are free You can have it all Anything you want you can make it yours Anything you want in the world Anything you want in the world (Give it up to me) Nothing too big or small Anything you want you can make it yours Anything you want in the world Anything you want in the world (Give it up to me) What you get is exactly what you give Never really know until you try We're so ahead of this Got this she-wolf appetite That keeps me up all night You know the way it works Don't be afraid to ask Aim high when the target is low F-Y-I, I am ready to go People say men are just like kids Never saw a kid behave like this What you give is exactly what you receive So put me in a cage and lock me away And I'll play the games that you want me to play You can have it all Anything you want you can make it yours Anything you want in the world Anything you want in the world (Give it up to me) Nothing too big or small Anything you want you can make it yours Anything you want in the world Anything you want in the world (Give it up to me) Hey, can we go by walking Or do you prefer to fly? All of the roads are open In your mind, in your life Give it up to me Hey, can we go by walking Or do you prefer to fly? All of the roads are open In your life, in your life Give it up to me Hey, lil lady, what's your plan? Say lil mama, come take a ride, jump in Hey, there, baby, what's on your mind? Don't need approval tonight, tonight (Tonight) Give it up You can have it all Anything you want you can make it yours Anything you want in the world Anything you want in the world (Give it up to me) Nothing too big or small Anything you want you can make it yours Anything you want in the world Anything you want in the world (Give it up to me) You can have it all Anything you want you can make it yours Anything you want in the world Anything you want in the world (Give it up to me) Nothing too big or small Anything you want you can make it yours Anything you want in the world Anything you want in the world (Give it up to me)"
"13","Timor","Shakira","Timor, Timor Yale, Yale East Timor, Timor Timor, Timor Timor, Timor Going on and on and on and on This is going on and on and on and on now Said it once and say it twice I want to save your time Safety, safety It's alright, it's alright 'Cause the system never fails The good guys are in power And the bad guys are in jail It's alright, it's alright Just as long as we can vote We live in democracy And that's what we promote Isn't it? Isn't it? (Ooh) Isn't it? Isn't it? (Ooh) It's alright, it's alright If the news says half the truth Hearing what we want's The secret of eternal youth It's alright, it's alright If the planet split in three 'Cause I'll keep selling records And you've got your MTV If we forget about them, don't worry If they forget about us then hurry How about the people who don't matter anymore? East Timor, Timor, Timor It's alright, it's alright They don't show it all on TV So we won't really know it Just by watching *BC It's alright, it's alright For our flag, we die or kill As long as we don't know it We'd do it just to pay the bills If we forget about them, don't worry If they forget about us then hurry How about the people who don't matter anymore? If we forget about them, don't worry If they forget about us then hurry How about the people who don't matter anymore? East Timor, Timor, Timor Let's keep tanning while it's sunny They'll risk our hides to make their money Now don't you find that funny? If we forget about them If they forget about us then hurry How about the people who don't matter anymore? If we forget about them, don't worry If they forget about us then hurry How about the people who don't matter anymore? East Timor, Timor, Timor East Timor, Timor, Timor East Timor"
"14","I Don't Ever Give Up","Patty Griffin","I'm no kid In a kid's game I did what I did I've got no one to blame But I don't give up No, I don't ever give up It's all I've got It's my claim to fame I'm no fighter But I'm fighting This whole world Seems uninviting But I don't give up No, I don't ever give up I fall down sometimes Sometimes I come back flying Liars are lying Airplanes are flying Love isn't here Love isn't here But it's somewhere Time to forget me But something won't let me Love isn't here Love isn't here But it's somewhere And I cleaned And I washed up This dream I don't ever give up I don't ever give up I don't ever give up No, I don't ever give up No, I don't ever give up No, I don't ever give up I don't ever give up"
"15","Getting Ready","Patty Griffin","Oh, baby, I'm getting ready I'm getting ready to let you go My hands shake, my heart's unsteady Oh how I once loved you so I know all the magic's gone Wish I had a magic wand I would put a spell on you You would see it as I do Oh, I'm getting ready to let you go Oh, I'm getting ready to let you go Oh, baby, you were my drug And I was just your cigarette I was nothing you could be proud of I have lost my self-respect My self-respect My self-respect I have lost my self-respect Oh, I'm getting ready to let you go Oh, I'm getting ready to let you go I'm getting ready to let you go Baby, baby, we got no traction I'm just waiting and waiting for your reaction So I try a new direction I'm going to give myself a resurrection I'm getting ready I'm getting ready I'm getting ready to let you go Oh, I'm getting ready to let you go Oh, I'm getting ready to let you go I'm getting ready to let you go I'm getting ready to let you go I'm getting ready to let you go"
